PIDM,PACIFIC_ID,LAST_NAME,FIRST_NAME,MI_NAME,PREF_FIRST_NAME,LFMI,FMIL,PREFIX,SUFFIX,CONFID_IND,GENDER,BIRTH_DATE,AGE,DEAD_IND,DEAD_DATE,ETHN_CODE,ETHN_DESC,NEW_ETHN_DESC,RELG_CODE,RELG_DESC,CITZ_CODE,CITZ_DESC,VTYP_CODE,VTYP_DESC,NON_RESIDENT_IND,BIRTH_NATN_DESC,LEGAL_NATN_DESC,FIRST_GEN_STDN_IND,TERM_CODE,TERM_DESC,REG_DETL,FIN_ACPT,ESTS_CODE,ESTS_DESC,ESTS_DATE,CREDIT_HR_THIS_TERM,BILL_HR_THIS_TERM,INIT_ENRL_TERM_CODE,INIT_ENRL_TERM_DESC,INIT_ENRL_REG_DETL,INIT_ENRL_FIN_ACPT,LAST_ENRL_TERM_CODE,LAST_ENRL_TERM_DESC,LAST_ENRL_REG_DETL,LAST_ENRL_FIN_ACPT,REG_ACCESS_CODE,RGRP_CODE,RGRP_BEGIN_DATE,RGRP_BEGIN_TIME,RGRP_END_DATE,RGRP_END_TIME,REG_HOLD_IND,REG_HOLD_CODES,TERM_CODE_EFF,TERM_DESC_EFF,FULL_PART_IND,STST_CODE,STST_DESC,CAMP_CODE,CAMP_DESC,SITE_CODE,SITE_DESC,LEVL_CODE,LEVL_DESC,CLAS_CODE,CLAS_DESC,RATE_CODE,RATE_DESC,RESD_CODE,RESD_DESC,STYP_CODE,STYP_DESC,EXP_GRAD_DATE,TERM_CODE_GRAD,TERM_DESC_GRAD,ACYR_CODE_GRAD,ACYR_DESC_GRAD,CHRT_CODE_ALL,CHRT_DESC_ALL,CHRT_CODE_SJCOE,CHRT_DESC_SJCOE,STDN_ATTR_CODES,STDN_ATTR_DESCS,SPRT_1_CODE,SPRT_1_DESC,SPRT_2_CODE,SPRT_2_DESC,VETC_1_CODE,VETC_1_DESC,INIT_TERM_CODE_EFF,INIT_TERM_DESC_EFF,INIT_LEVL_CODE,INIT_LEVL_DESC,INIT_STYP_CODE,INIT_STYP_DESC,CURR_1_ADMIT_TERM_CODE,CURR_1_ADMIT_TERM_DESC,CURR_1_CTLG_TERM_CODE,CURR_1_CTLG_TERM_DESC,CURR_1_PROGRAM_CODE,CURR_1_PROGRAM_DESC,CURR_1_DEGC_CODE,CURR_1_DEGC_DESC,CURR_1_COLL_CODE,CURR_1_COLL_DESC,CURR_1_1_MAJR_CODE,CURR_1_1_MAJR_DESC,CURR_1_1_DEPT_CODE,CURR_1_1_DEPT_DESC,CURR_1_1_1_CONC_CODE,CURR_1_1_1_CONC_DESC,CURR_1_1_2_CONC_CODE,CURR_1_1_2_CONC_DESC,CURR_1_1_3_CONC_CODE,CURR_1_1_3_CONC_DESC,CURR_1_2_MAJR_CODE,CURR_1_2_MAJR_DESC,CURR_1_2_DEPT_CODE,CURR_1_2_DEPT_DESC,CURR_1_2_1_CONC_CODE,CURR_1_2_1_CONC_DESC,CURR_1_2_2_CONC_CODE,CURR_1_2_2_CONC_DESC,CURR_1_2_3_CONC_CODE,CURR_1_2_3_CONC_DESC,CURR_1_1_MINR_CODE,CURR_1_1_MINR_DESC,CURR_1_2_MINR_CODE,CURR_1_2_MINR_DESC,CURR_2_ADMIT_TERM_CODE,CURR_2_ADMIT_TERM_DESC,CURR_2_CTLG_TERM_CODE,CURR_2_CTLG_TERM_DESC,CURR_2_PROGRAM_CODE,CURR_2_PROGRAM_DESC,CURR_2_DEGC_CODE,CURR_2_DEGC_DESC,CURR_2_COLL_CODE,CURR_2_COLL_DESC,CURR_2_1_MAJR_CODE,CURR_2_1_MAJR_DESC,CURR_2_1_DEPT_CODE,CURR_2_1_DEPT_DESC,CURR_2_1_1_CONC_CODE,CURR_2_1_1_CONC_DESC,CURR_2_1_2_CONC_CODE,CURR_2_1_2_CONC_DESC,CURR_2_1_3_CONC_CODE,CURR_2_1_3_CONC_DESC,CURR_2_2_MAJR_CODE,CURR_2_2_MAJR_DESC,CURR_2_2_DEPT_CODE,CURR_2_2_DEPT_DESC,CURR_2_2_1_CONC_CODE,CURR_2_2_1_CONC_DESC,CURR_2_2_2_CONC_CODE,CURR_2_2_2_CONC_DESC,CURR_2_2_3_CONC_CODE,CURR_2_2_3_CONC_DESC,CURR_2_1_MINR_CODE,CURR_2_1_MINR_DESC,CURR_2_2_MINR_CODE,CURR_2_2_MINR_DESC,ASTD_TERM_CODE,ASTD_TERM_DESC,ASTD_CODE,ASTD_DESC,ASTD_DATE,TERM_INST_HRS_ATTEMPTED,TERM_INST_HRS_EARNED,TERM_INST_HRS_PASSED,TERM_INST_HRS_GPA,TERM_INST_GPA,TERM_INST_QLTY_PNTS,TRAN_HRS_ATTEMPTED,TRAN_HRS_EARNED,TRAN_HRS_PASSED,TRAN_HRS_GPA,TRAN_GPA,TRAN_QLTY_PNTS,INST_HRS_ATTEMPTED,INST_HRS_EARNED,INST_HRS_PASSED,INST_HRS_GPA,INST_GPA,INST_QLTY_PNTS,OVRL_HRS_ATTEMPTED,OVRL_HRS_EARNED,OVRL_HRS_PASSED,OVRL_HRS_GPA,OVRL_GPA,OVRL_QLTY_PNTS,AW_DEGR_1_DEGC_CODE,AW_DEGR_1_DEGC_DESC,AW_DEGR_1_LEVL_CODE,AW_DEGR_1_LEVL_DESC,AW_DEGR_1_DATE,AW_DEGR_2_DEGC_CODE,AW_DEGR_2_DEGC_DESC,AW_DEGR_2_LEVL_CODE,AW_DEGR_2_LEVL_DESC,AW_DEGR_2_DATE,AW_DEGR_3_DEGC_CODE,AW_DEGR_3_DEGC_DESC,AW_DEGR_3_LEVL_CODE,AW_DEGR_3_LEVL_DESC,AW_DEGR_3_DATE,ADVR_1_PACIFIC_ID,ADVR_1_LAST_NAME,ADVR_1_FIRST_NAME,ADVR_1_MI_NAME,ADVR_1_LFMI,ADVR_1_FMIL,ADVR_1_CODE,ADVR_1_DESC,ADVR_1_PRI_IND,ADVR_2_PACIFIC_ID,ADVR_2_LAST_NAME,ADVR_2_FIRST_NAME,ADVR_2_MI_NAME,ADVR_2_LFMI,ADVR_2_FMIL,ADVR_2_CODE,ADVR_2_DESC,ADVR_3_PACIFIC_ID,ADVR_3_LAST_NAME,ADVR_3_FIRST_NAME,ADVR_3_MI_NAME,ADVR_3_LFMI,ADVR_3_FMIL,ADVR_3_CODE,ADVR_3_DESC,HS_SBGI_CODE,HS_SBGI_DESC,HS_GPA,CUMGPA_SBGI_CODE,CUMGPA_SBGI_DESC,CUMGPA_HRS_TRAN,CUMGPA_GPA_TRAN,LATEST_HONR_CMNT_CODE,LATEST_HONR_CMNT_DESC,LATEST_HONR_CMNT_DATE,PAC_EMAIL,PACIFICNET_ID,LO_STREET_LINE1,LO_STREET_LINE2,LO_STREET_LINE3,LO_CITY,LO_STAT_CODE,LO_STAT_DESC,LO_ZIP,LO_CNTY_CODE,LO_CNTY_DESC,LO_NATN_CODE,LO_NATN_DESC,LO_ASRC_CODE,LO_ASRC_DESC,LO_UNLIST_IND,LO_TELEPHONE,MA_STREET_LINE1,MA_STREET_LINE2,MA_STREET_LINE3,MA_CITY,MA_STAT_CODE,MA_STAT_DESC,MA_ZIP,MA_CNTY_CODE,MA_CNTY_DESC,MA_NATN_CODE,MA_NATN_DESC,MA_ASRC_CODE,MA_ASRC_DESC,MA_UNLIST_IND,MA_TELEPHONE,PR_STREET_LINE1,PR_STREET_LINE2,PR_STREET_LINE3,PR_CITY,PR_STAT_CODE,PR_STAT_DESC,PR_ZIP,PR_CNTY_CODE,PR_CNTY_DESC,PR_NATN_CODE,PR_NATN_DESC,PR_ASRC_CODE,PR_ASRC_DESC,PR_UNLIST_IND,PR_TELEPHONE,PA_STREET_LINE1,PA_STREET_LINE2,PA_STREET_LINE3,PA_CITY,PA_STAT_CODE,PA_STAT_DESC,PA_ZIP,PA_CNTY_CODE,PA_CNTY_DESC,PA_NATN_CODE,PA_NATN_DESC,PA_ASRC_CODE,PA_ASRC_DESC,PA_UNLIST_IND,PA_TELEPHONE,FO_STREET_LINE1,FO_STREET_LINE2,FO_STREET_LINE3,FO_CITY,FO_STAT_CODE,FO_STAT_DESC,FO_ZIP,FO_CNTY_CODE,FO_CNTY_DESC,FO_NATN_CODE,FO_NATN_DESC,FO_ASRC_CODE,FO_ASRC_DESC,FO_UNLIST_IND,FO_TELEPHONE,FO_INTL_ACCESS,SUCCESS_CODE,SUCCESS_DESC
55970499,9596756,Byrd,Deborah,property,Dennis,do,whole,scientist,life,50429429,until,bad,church,year,smile,ago,whom,take,last,peace,region,this,develop,executive,30607105,plan,life,recently,place,Fall 2022,door,sit,about,positive,indicate,14,similar,a,Fall 2022,gun,land,certain,Fall 2022,simply,blue,seek,particular,animal,certainly,buy,benefit,its,environment,hand,Fall 2023,mind,minute,skin,interest,draw,major,experience,UG,high,FR,whose,southern,card,tonight,then,money,political,hour,much,Fall 2023,put,dark,now,about,system,challenge,gas,discussion,enter,Men's Water Polo,ever,pressure,voice,institution,magazine,Spring 2024,UG,attention,especially,method,hand,Spring 2023,sense,Fall 2022,for,they,follow,scene,large,news,property,Accounting,citizen,doctor,too,same,within,change,task,before,thousand,Mrs,on,reveal,east,movie,week,lawyer,meet,product,newspaper,approach,up,oil,summer,Spring 2023,build,Spring 2024,industry,federal,person,MBA,agreement,life,five,from,onto,the,trial,budget,more,chair,administration,job,expert,trial,fine,while,through,both,believe,major,teacher,he,despite,loss,end,north,they,Spring 2024,life,sell,quality,break,full,contain,3.11,3.69,book,white,drug,eye,3.7,2.65,establish,rule,face,per,2.51,2.19,trade,land,63,argue,3.73,2.93,that,stock,ready,GR,red,light,among,build,UG,test,per,statement,production,GR,stage,beat,87418195,Reed,Daniel,hot,population,Dr. Smith,region,try,commercial,85993978,Stewart,Sarah,small,study,base,economic,task,69933841,Smith,Michael,sit,lawyer,action,serve,defense,sea,culture,3.69,3.94,3.33,3.51,2.27,yes,listen,old,kathygarcia@example.net,25525511,back,her,really,owner,care,for,five,hear,now,physical,art,understand,community,school,across,material,produce,claim,carry,reason,either,have,theory,fight,performance,actually,treatment,wait,indeed,though,defense,decade,sea,shake,everyone,may,hospital,bar,visit,subject,economic,set,baby,prove,despite,building,see,traditional,what,various,most,skill,material,concern,space,next,three,seat,marriage,indicate,center,when,space,leg,situation,loss,ago,modern,owner,skin,growth,development,claim,level,house,need,why,major
7907952,66046580,Brown,William,soon,Antonio,government,increase,success,property,3366549,north,summer,surface,week,crime,great,choice,general,loss,such,out,yourself,method,draw,38933066,provide,yeah,write,player,Spring 2024,also,whether,create,our,report,17,find,there,Spring 2023,class,student,program,Fall 2022,use,there,structure,work,about,cup,fine,everything,author,best,conference,Fall 2023,east,ahead,rise,on,kind,image,agency,GR,star,SR,local,present,piece,hot,drive,foreign,serious,bank,life,Spring 2023,person,necessary,avoid,recently,early,daughter,yes,eight,off,Tennis,only,idea,indeed,front,speak,Spring 2024,UG,trip,everyone,whole,guy,Fall 2022,writer,Fall 2023,possible,personal,if,administration,reality,economic,seat,Business Administration,strong,nature,very,mind,front,care,door,call,nor,ball,agency,citizen,performance,usually,by,kitchen,whose,often,page,near,assume,himself,personal,Spring 2024,with,Fall 2023,new,serve,write,,expect,lot,citizen,building,I,movie,feel,our,whom,space,act,see,best,bag,story,chance,meet,morning,trouble,hold,father,mind,mission,send,help,million,discover,Spring 2023,light,prevent,school,amount,this,control,3.77,2.02,find,hundred,administration,charge,3.62,2.35,key,one,positive,too,2.5,2.74,civil,kid,34,song,3.36,2.92,billion,night,cut,GR,save,leg,couple,energy,GR,box,myself,air,plan,UG,nation,ago,81720148,Mendoza,Joseph,heart,hard,Dr. Smith,Mr,material,last,89745515,Schaefer,Emily,style,push,anyone,create,size,51115319,Young,Shari,effect,pretty,investment,tend,front,section,similar,3.7,3.19,2.04,2.97,2.98,manage,station,should,chavezjudith@example.org,19209799,generation,law,back,big,speech,sure,realize,think,condition,place,beautiful,quite,baby,street,almost,economy,wear,claim,team,account,half,minute,poor,might,community,never,others,western,either,any,course,generation,line,shake,reveal,other,outside,site,feel,film,medical,also,plan,use,avoid,really,very,others,choice,base,fight,field,describe,everyone,large,factor,human,sometimes,this,kind,step,traditional,write,poor,no,field,middle,energy,hear,open,fire,example,movie,quickly,enough,old,worker,process
33736030,81943048,Williams,Melissa,writer,Jeff,degree,career,see,that,6497538,simple,read,east,accept,cost,player,whose,door,others,near,pick,amount,she,reflect,29816759,culture,participant,reach,character,Fall 2022,east,scientist,account,sing,such,16,floor,about,Spring 2023,quite,rate,move,Fall 2022,girl,church,agreement,best,lead,my,include,upon,television,board,month,Spring 2023,half,word,point,medical,set,military,across,UG,game,SO,specific,bed,scene,benefit,other,drive,read,improve,learn,Spring 2023,health,bag,organization,name,energy,that,feeling,yet,identify,Tennis,indicate,head,more,prevent,money,Spring 2024,GR,technology,occur,indicate,glass,Fall 2022,admit,Fall 2023,spend,modern,pretty,feel,purpose,improve,give,Accounting,much,American,son,east,back,west,today,each,test,make,parent,hundred,want,truth,others,standard,account,should,plan,son,degree,before,company,Spring 2024,wish,Spring 2024,measure,another,executive,JD,talk,relate,give,alone,message,most,factor,among,view,fact,item,yeah,thus,continue,effort,lose,when,rest,theory,voice,old,everyone,computer,writer,story,memory,much,Spring 2024,black,world,detail,research,pick,operation,2.73,3.68,each,drop,view,chair,3.58,3.5,himself,out,everyone,night,2.07,3.02,early,great,56,picture,3.96,3.13,and,create,structure,GR,dream,community,build,foreign,UG,drive,audience,possible,against,GR,single,why,92510565,Johnson,Ann,only,another,Prof. Lee,teacher,figure,activity,67049933,Clark,Brenda,environmental,start,allow,standard,agreement,63549562,Jackson,Tony,stop,color,arm,development,option,provide,then,3.25,3.68,2.91,3.35,2.39,focus,board,really,mark50@example.com,98343537,degree,opportunity,stand,sing,art,note,radio,way,standard,entire,stuff,along,turn,name,during,wife,those,develop,draw,front,we,go,game,later,figure,source,arm,evidence,television,after,quality,push,fish,name,economic,professional,idea,policy,three,road,end,lead,large,machine,understand,exist,similar,yeah,member,interest,enter,do,hand,man,quite,industry,some,study,agreement,material,method,blood,environmental,everyone,wonder,customer,economic,total,other,particular,contain,more,simple,network,sing,single,behind,report
22792833,54255028,Bowen,Tina,news,Justin,lead,model,perform,could,96372368,few,amount,especially,evening,drug,course,everyone,road,difference,after,authority,listen,enter,father,86212273,theory,whether,realize,order,Fall 2023,even,phone,likely,then,loss,16,up,current,Spring 2024,me,while,us,Spring 2023,less,voice,message,response,gas,enter,compare,evidence,listen,particular,teach,Fall 2023,appear,PM,court,than,feel,church,respond,GR,soldier,FR,very,rich,nation,expert,couple,effect,between,piece,week,Spring 2023,hard,so,remember,there,box,or,red,health,customer,Tennis,them,enough,high,local,morning,Fall 2022,GR,question,language,perhaps,prevent,Fall 2023,whatever,Spring 2024,increase,Congress,live,enough,especially,employee,suggest,International Business,those,risk,manager,bring,value,toward,building,yard,direction,anyone,computer,about,marriage,crime,with,reflect,change,center,despite,generation,to,rich,certainly,Fall 2022,degree,Spring 2023,story,center,to,,matter,pattern,common,attention,under,morning,the,institution,material,couple,agent,lay,something,science,section,ten,physical,last,nice,out,our,fine,away,stand,idea,level,score,Spring 2024,consider,somebody,these,because,its,difference,3.5,3.39,bit,current,travel,there,2.69,2.54,wonder,night,cause,serve,3.27,3.79,amount,car,64,purpose,3.24,3.93,performance,size,pattern,GR,else,main,table,change,GR,culture,sense,agency,among,GR,piece,between,97011093,Matthews,Alyssa,window,drive,Dr. Johnson,character,behind,more,500310,Mcclain,Christopher,soon,building,child,car,responsibility,54538902,Meadows,Stephanie,section,conference,culture,value,evidence,always,blue,2.58,3.81,2.83,3.41,3.85,north,food,stuff,cwebb@example.org,74622076,series,wear,per,pull,sure,television,career,carry,religious,although,offer,few,how,gun,PM,cause,affect,idea,beyond,image,travel,mind,often,coach,baby,prove,part,business,meet,current,care,here,quickly,television,interview,though,glass,charge,fall,number,often,science,people,yet,economic,education,sometimes,town,common,follow,certain,skin,hot,left,officer,small,organization,statement,cold,want,nor,energy,ready,plan,fast,fear,piece,suffer,pass,wall,major,control,strategy,push,gun,possible,cover,property
27730359,98732077,Jensen,Ethan,must,Dawn,before,choice,his,stand,9209842,according,writer,option,check,hear,human,next,be,church,east,simply,certain,against,edge,30803857,agree,majority,partner,call,Spring 2023,factor,able,economic,significant,outside,18,build,affect,Spring 2024,power,again,candidate,Spring 2023,system,already,whom,decide,meet,quickly,century,entire,thought,pull,high,Fall 2022,discover,need,black,finally,ahead,hold,quality,UG,law,SO,boy,pass,behind,enjoy,get,measure,keep,with,this,Spring 2023,others,past,difficult,process,either,beyond,organization,despite,modern,,own,section,picture,financial,up,Spring 2023,UG,late,include,assume,approach,Spring 2023,learn,Spring 2024,affect,paper,sea,candidate,machine,nice,detail,International Business,production,reach,woman,parent,draw,face,coach,factor,young,world,partner,provide,traditional,great,sit,include,usually,bank,among,event,less,bill,yeah,Fall 2022,born,Spring 2024,song,should,research,JD,century,question,animal,few,skill,tree,hold,customer,and,fast,our,man,someone,worry,opportunity,young,employee,for,down,live,before,information,over,cost,account,doctor,shake,Fall 2022,himself,crime,practice,decade,product,industry,3.82,2.84,condition,form,necessary,player,2.72,3.1,because,protect,walk,rise,3.68,2.94,always,set,110,today,2.01,3.91,southern,across,wait,UG,administration,health,whose,assume,UG,animal,economy,short,administration,UG,car,certain,62664563,Potts,Kimberly,lead,which,Prof. Lee,hundred,though,job,80587077,Santos,Sharon,right,although,beautiful,five,dinner,98093744,Erickson,Linda,between,during,reach,direction,save,live,town,2.96,2.58,2.65,2.43,3.29,follow,fund,student,zlopez@example.com,36600540,follow,rate,benefit,blood,near,score,develop,population,boy,skill,cut,hot,red,upon,indicate,choice,crime,project,stand,language,goal,word,fact,possible,hundred,American,plant,add,those,group,describe,protect,road,financial,food,health,final,walk,focus,now,model,reason,economic,affect,very,like,mouth,want,share,me,force,receive,avoid,build,make,because,which,own,away,everybody,no,teach,establish,business,rest,system,indeed,sing,important,dinner,day,score,vote,walk,sister,assume,instead,technology
61324711,50017572,Torres,Thomas,about,Stacy,computer,defense,event,hot,48184103,deal,level,task,standard,common,church,dinner,until,focus,hair,computer,ten,share,particular,58717809,evening,land,blood,activity,Spring 2024,kitchen,adult,wind,live,probably,15,itself,particularly,Spring 2023,natural,per,food,Fall 2022,heavy,happen,or,do,player,often,significant,prevent,through,call,these,Fall 2022,subject,want,this,seem,want,though,civil,UG,something,JR,good,name,hit,suffer,fish,add,group,no,system,Spring 2024,growth,foreign,plan,beat,leader,leave,training,single,tough,Basketball,near,during,outside,wear,should,Spring 2023,UG,response,house,anything,help,Fall 2022,quality,Spring 2024,skin,first,medical,across,better,wind,decision,Entrepreneurship,firm,medical,look,alone,own,Republican,parent,paper,week,son,role,clear,reduce,indicate,surface,figure,computer,too,law,chair,field,when,continue,Spring 2024,join,Spring 2023,there,once,require,MA in Economics,interest,investment,edge,apply,though,care,research,almost,probably,friend,carry,majority,off,human,Congress,provide,Republican,effort,drop,seat,black,consumer,dog,ask,middle,late,imagine,Fall 2023,new,why,lawyer,guy,six,act,2.88,2.85,financial,practice,three,actually,2.07,2.13,improve,voice,nearly,ten,2.59,2.34,set,event,57,pattern,2.47,3.99,two,partner,story,GR,trade,part,traditional,break,GR,image,name,financial,see,GR,would,lead,45654221,Leon,Earl,particularly,pull,Dr. Smith,write,weight,too,72983072,Harris,Anthony,phone,girl,behind,get,now,52977593,Wilson,Robert,hospital,seat,town,it,future,beautiful,public,2.98,3.61,3.07,2.64,3.93,wife,officer,sound,martinmatthew@example.com,69333265,alone,couple,address,collection,leader,seven,perform,stock,sit,look,president,fund,smile,expect,board,person,hotel,more,data,actually,year,find,avoid,well,purpose,community,eye,detail,visit,feel,throughout,big,where,also,grow,hotel,role,by,easy,race,president,news,quality,dog,team,fire,live,lay,world,treatment,cut,meet,specific,safe,notice,wall,end,dog,network,loss,describe,answer,view,culture,make,guy,bit,discussion,grow,condition,his,decision,card,knowledge,look,author,represent,east
80026483,55211096,Brown,Ronald,plant,Heidi,Mr,find,us,end,72839161,without,sure,bad,brother,though,little,law,hair,box,finish,rest,next,ok,born,82455636,level,official,final,between,Spring 2024,card,charge,onto,challenge,day,14,consider,learn,Fall 2022,trouble,scientist,fly,Spring 2023,option,part,effort,professor,west,play,land,ground,lawyer,their,executive,Fall 2022,this,life,these,address,heavy,poor,write,GR,foot,SO,break,back,seat,business,western,focus,enjoy,soon,ability,Spring 2024,also,where,believe,identify,author,store,resource,public,although,Tennis,head,close,throw,red,boy,Fall 2023,GR,together,behavior,politics,so,Spring 2023,deal,Fall 2022,travel,performance,walk,during,option,might,determine,Business Analytics,pressure,son,Republican,police,necessary,four,per,successful,put,your,discuss,quality,will,language,relationship,hit,four,stage,social,letter,reach,drop,there,Fall 2022,front,Fall 2022,social,short,ten,MS in Business Analytics,radio,hundred,town,live,reduce,something,drop,gas,nearly,wife,firm,book,something,why,eye,sea,bit,per,sound,community,history,kind,prove,popular,bar,where,decide,Fall 2022,tough,dog,station,professor,force,hand,3.44,3.52,line,end,west,affect,3.71,2.34,car,thus,sport,couple,3.73,3.82,along,red,94,fund,2.59,2.42,wear,because,draw,GR,news,first,body,study,GR,discover,lead,society,south,GR,meeting,person,50369142,Clark,Jessica,enough,doctor,Prof. Lee,security,air,half,58120675,Adams,James,contain,rate,moment,property,second,83092678,Parsons,Susan,start,hard,image,challenge,argue,turn,yourself,3.89,3.01,3.28,3.86,3.23,answer,drug,guess,victor21@example.net,97892421,dark,walk,natural,what,store,administration,painting,add,since,their,box,research,great,prove,last,data,country,minute,sort,possible,store,great,until,build,rule,arrive,table,prepare,hear,all,action,book,college,over,surface,product,rule,beautiful,certain,need,those,knowledge,as,tax,list,plan,eye,avoid,off,stuff,laugh,assume,analysis,throughout,rise,all,true,power,already,true,expect,day,station,attorney,prepare,age,somebody,certain,art,tend,father,approach,control,everybody,thus,unit,bag,response
29825108,78507515,Barry,Mark,democratic,Kristin,white,between,from,specific,63200740,down,design,bad,firm,couple,sport,mind,official,power,deep,card,great,book,full,3808517,country,maintain,wonder,community,Spring 2024,agent,help,travel,administration,direction,14,southern,mission,Fall 2023,sign,sea,charge,Fall 2022,then,quite,somebody,loss,minute,those,significant,feel,important,new,apply,Fall 2023,likely,per,financial,soldier,good,more,gun,UG,future,SR,once,similar,end,thing,feeling,central,rich,power,economy,Spring 2023,father,bring,development,safe,way,class,it,food,chance,,improve,decide,political,run,go,Spring 2023,GR,identify,hot,amount,establish,Fall 2022,agency,Fall 2022,model,wish,film,Republican,job,enter,prepare,Finance,red,court,environment,high,skin,how,for,look,cultural,else,take,task,cell,about,remain,fast,decade,situation,chair,near,close,source,discussion,Fall 2022,speak,Fall 2023,million,bring,place,MA in Economics,human,offer,sense,although,future,yard,require,player,meet,effort,finish,much,bill,enough,tax,since,push,court,without,economic,Congress,lay,return,authority,any,debate,school,Fall 2022,difficult,return,sort,become,try,black,2.28,3.19,modern,range,record,model,2.42,2.55,blood,social,get,hotel,3.67,2.43,staff,nothing,60,fear,3.64,2.31,phone,camera,fine,UG,market,call,out,character,GR,option,concern,career,street,UG,game,open,15611854,Delgado,Sandra,prevent,risk,Dr. Johnson,member,kind,draw,42598911,Wang,Christopher,since,want,ok,moment,task,29418010,Dean,Sarah,stop,authority,place,local,physical,able,above,2.29,3.06,2.38,3.31,2.59,treat,reality,church,anthonybrown@example.net,98241348,less,owner,expert,western,training,dog,still,explain,today,manage,small,marriage,low,hour,power,pass,course,mind,debate,activity,and,kind,likely,similar,Democrat,scientist,seek,writer,marriage,voice,push,human,particular,half,show,against,according,team,employee,list,away,lead,place,stand,marriage,new,drive,build,young,industry,find,its,though,as,represent,visit,no,continue,American,hold,street,officer,of,chance,future,easy,recently,form,tonight,ever,back,allow,practice,agency,kitchen,government,name,drug
37710108,92433395,Clark,Veronica,world,Susan,bill,partner,thought,newspaper,91134030,middle,eye,when,decide,society,between,third,measure,get,child,always,may,receive,nice,48380136,hear,analysis,write,strong,Spring 2024,law,learn,treatment,third,person,12,trouble,kind,Fall 2022,agent,computer,increase,Fall 2023,current,view,standard,commercial,impact,feeling,easy,hit,night,test,degree,Spring 2024,direction,activity,if,spend,medical,operation,necessary,GR,yourself,SR,identify,military,quickly,size,address,pull,and,medical,recent,Spring 2024,personal,charge,share,science,consumer,find,have,class,six,Basketball,age,sit,full,third,song,Spring 2024,GR,fall,wide,truth,offer,Spring 2024,fight,Spring 2023,not,east,current,trade,including,wear,rate,Accounting,finish,many,off,campaign,product,send,state,right,budget,never,where,painting,development,thought,we,across,chance,market,another,door,return,continue,find,Spring 2023,strong,Spring 2023,believe,team,record,JD,remember,near,through,feel,dinner,author,scientist,read,sport,art,news,class,behavior,east,value,someone,marriage,collection,company,song,night,mean,camera,dinner,present,campaign,art,Spring 2024,sea,despite,food,child,hit,TV,2.37,3.76,concern,stage,return,pay,2.64,3.66,sport,friend,check,attack,2.36,2.21,recent,leader,77,hair,2.07,3.12,article,boy,though,UG,shoulder,both,try,what,UG,somebody,single,pattern,plant,GR,building,short,82365346,Robinson,Lindsay,whose,person,Prof. Lee,customer,professional,them,86629936,Munoz,Eric,step,spend,former,there,light,39965336,Bond,Marc,although,quality,magazine,ball,southern,occur,throughout,3.88,2.86,3.22,3.5,3.45,police,available,pass,torresbilly@example.com,32857441,paper,doctor,about,difference,laugh,anyone,stage,anything,six,record,speak,heart,item,step,necessary,point,onto,face,majority,girl,someone,Mrs,issue,parent,watch,everything,far,class,after,expect,step,effect,light,state,in,my,attention,plant,including,science,a,person,marriage,medical,capital,may,garden,already,agree,notice,think,return,official,religious,soon,meet,travel,structure,sort,sound,full,while,involve,seek,involve,sing,beat,tree,continue,down,watch,role,black,own,think,owner,thousand,between
5707170,29121893,Howe,Yolanda,ever,Joseph,marriage,sport,guess,box,42327237,try,message,cost,minute,less,dream,air,sound,word,night,building,issue,surface,picture,59488023,idea,let,eight,effort,Spring 2023,piece,Republican,point,person,street,16,face,leave,Spring 2023,I,pull,hair,Fall 2022,mission,feel,challenge,letter,assume,star,senior,create,visit,environment,policy,Spring 2023,goal,use,here,listen,again,piece,know,UG,make,FR,front,three,business,character,later,relate,huge,form,fly,Spring 2024,green,break,give,citizen,moment,soldier,admit,lot,young,Tennis,reality,happen,TV,agency,society,Fall 2023,UG,suggest,win,that,term,Fall 2022,between,Fall 2023,hair,thought,guess,account,reason,those,simple,Marketing,state,industry,whom,between,each,technology,reduce,general,left,difference,decade,could,degree,fact,sense,crime,nor,current,should,draw,plan,interview,house,Fall 2022,better,Fall 2022,off,think,bar,MA in Economics,develop,summer,amount,price,itself,meet,generation,easy,song,yourself,though,experience,different,hold,what,street,itself,stay,decade,continue,team,their,yes,activity,wish,street,computer,Spring 2023,citizen,forward,dark,interesting,game,mean,2.16,3.58,carry,property,sport,environmental,2.92,3.34,cup,chair,sea,ahead,3.89,2.61,information,woman,68,safe,3.71,2.46,order,past,just,UG,think,question,within,machine,GR,door,doctor,trial,company,UG,decide,whatever,31645284,Hudson,Vanessa,leave,maybe,Dr. Brown,economic,floor,shake,76302885,Stevens,Matthew,inside,economy,pass,cost,fill,61840330,Walker,Aaron,discuss,there,business,use,main,performance,Mrs,2.34,3.73,2.79,3.76,2.2,race,guess,room,april00@example.com,63875676,letter,crime,black,provide,key,information,go,teacher,or,she,arrive,cup,floor,especially,also,continue,increase,either,middle,college,whose,although,drug,open,us,sing,discover,including,three,reflect,together,good,read,draw,firm,political,church,mission,pretty,push,local,world,issue,become,indicate,visit,consumer,race,until,stay,week,sea,human,organization,account,customer,bank,author,expect,quickly,outside,claim,mouth,year,ever,central,fast,he,just,fight,thousand,we,full,focus,white,you,build,may
